concordance_id,zone_or_system,source_file,kandam,canto,passage_span,anchor_phrase,source_claim,verification_status
HWT-0183,VAN-Z09 captive kings and stone,vanji_kaandam.md,Vañci,27. Water Consecration,1-10,"கனக விசயர்தங் கதிர்முடி ஏற்றிச்","The Himalayan Pattini stone is placed upon the crowned heads of the defeated Kanaka and Vijaya as part of the victory narrative",verified_exact
HWT-0184,VAN-Z10 Ganges consecration,vanji_kaandam.md,Vañci,27. Water Consecration,10-20,"கங்கைப் பேர்யாற்றுக் கரையகம் புகுந்து","The stone is ritually consecrated in the Ganges by specialists following an explicitly described ceremonial procedure",verified_exact
HWT-0185,VAN-Z10 south-bank ceremonial complex,vanji_kaandam.md,Vañci,27. Water Consecration,15-25,"மன்பெருங் கோயிலும் மணிமண்டபங்களும்","Temple hall golden arena pavilion royal quarters gardens ponds and performance spaces form the temporary Ganges-bank complex",verified_exact
HWT-0186,VAN-Z10 martial commemoration,vanji_kaandam.md,Vañci,27. Water Consecration,25-45,"வாகைப் பொலந்தோடு","The king distinguishes and honours warriors who died fought wounded survived or achieved exceptional battlefield deeds",verified_exact
HWT-0187,VAN narrative reconnection,vanji_kaandam.md,Vañci,27. Water Consecration,45-100,"மாடல மறையோன் வந்து தோன்றி","Māṭalan reconnects the northern victory to Mādhavi Kōvalaṉ Kaṇṇaki Mādhari Kauṇṭi and the bereaved families in Pukār",verified_exact
HWT-0188,VAN-Z10 political release and return,vanji_kaandam.md,Vañci,27. Water Consecration,170-200,"ஆரிய மன்னர் ஐயிரு பதின்மரைச் சீர்கெழு நன்னாட்டுச் செல்க","Northern rulers are released to return to their countries as the Cēra king turns south with the victorious army",verified_exact
HWT-0189,VAN-Z11 landscape songs of return,vanji_kaandam.md,Vañci,27. Water Consecration,215-250,"குறத்தியர் பாடிய குறிஞ்சிப் பாணியும்","Hill women cultivators pastoral people and coastal women announce the returning king through distinct regional songs",verified_exact
HWT-0190,VAN-Z11 triumphal entry into Vañci,vanji_kaandam.md,Vañci,27. Water Consecration,250-end,"வஞ்சியுட் புகுந்தனன் செங்குட்டுவன்","The queen and city receive Senguttuvan beneath the white parasol as he re-enters Vañci after the northern campaign",verified_exact
HWT-0191,VAN-Z11 veteran bodies and public reception,vanji_kaandam.md,Vañci,28. Memorial Stone,1-25,"யானை வெண்கோடு அழுத்திய மார்பும்","Women receive returning warriors whose bodies visibly retain elephant tusk spear arrow and sword wounds",verified_exact
HWT-0192,VAN-Z11 release and civic remission,vanji_kaandam.md,Vañci,28. Memorial Stone,200-210,"சிறையோர் கோட்டஞ் சீமின்","The king orders release of prisoners and remission of burdens before completing the Pattini institution",verified_exact
HWT-0193,VAN-Z11 specialist shrine construction,vanji_kaandam.md,Vañci,28. Memorial Stone,220-230,"அறக்களத்து அந்தணர் ஆசான் பெருங்கணி சிறப்புடைக் கம்மியர்","Ritual experts teachers calendrical specialists and skilled craftspeople collaborate in constructing the Pattini shrine and image",verified_exact
HWT-0194,VAN-Z11 installed image and recurring worship,vanji_kaandam.md,Vañci,28. Memorial Stone,225-end,"பூப்பலி செய்து காப்புக்கடை நிறுத்தி","The completed image is ornamented and given flower offerings protective boundaries sacrifice festival and daily observance",verified_exact
HWT-0195,VAN transregional memory community,vanji_kaandam.md,Vañci,29. Praise,Opening laments,"தோழிநான் கண்டீர்","Dēvanti the guardian woman the female companion and Aiyai carry Pukār and Madurai memories into the new Pattini shrine",verified_exact
HWT-0196,VAN transregional cult participation,vanji_kaandam.md,Vañci,30. Granting the Boon,150-165,"தந்தேன் வரமென்று எழுந்ததோர் குரல்","Released northern rulers Kuṭaka and Koṅku rulers the Māḷuva king and the Lankan king request participation and receive a divine grant",verified_exact
HWT-0197,VAN ethical conclusion,vanji_kaandam.md,Vañci,30. Granting the Boon,Closing injunction,"தெய்வந் தெளிமின் தெளிந்தோர் பேணுமின்","The epic closes with injunctions against falsehood killing theft destructive desire and harmful association while urging charity restraint gratitude and ethical fellowship",verified_exact
