sequence_order,scene_id,scene_title,source_ids,runtime_minutes,screenplay_pages,film_start_minute,film_end_minute,scene_purpose,emotional_turn,character_focus,production_complexity,priority,status
1,SCN-MDU-001,The capital wakes behind its walls,HWT-0090;HWT-0091;HWT-0092;HWT-0093,1.5,1.5,74.0,75.5,Establish Madurai as an organised capital,The travellers enter a city that appears capable of order,Kaṇṇaki;Kōvalaṉ;Kauṇṭi;city institutions,very_high,A,drafted_v1
2,SCN-MDU-002,"River, market and performance city",HWT-0094;HWT-0095;HWT-0096;HWT-0097,2.0,2.0,75.5,77.5,Make the anklet sale economically plausible,Opportunity appears inside a network Kōvalaṉ does not know,Kōvalaṉ;Kaṇṇaki;urban workers,very_high,A,drafted_v1
3,SCN-MDU-003,Care passes into Mādhari's house,HWT-0098;HWT-0099,2.0,2.0,77.5,79.5,Transfer protection from Kauṇṭi to a pastoral household,Kaṇṇaki receives one final domestic refuge,Kaṇṇaki;Kōvalaṉ;Kauṇṭi;Mādhari,medium,A,drafted_v1
4,SCN-MDU-004,The cattle register disorder,HWT-0108,1.5,1.5,79.5,81.0,Let the household perceive disturbance through ordinary work,Several practical failures create shared unease,Mādhari;pastoral women;animals,high,B,drafted_v1
5,SCN-MDU-005,Kuravai as communal repair,HWT-0109;HWT-0110;HWT-0111;HWT-0112;HWT-0113,2.5,2.5,81.0,83.5,Show performance acting upon collective fear,The community tries to restore order through coordinated song,Mādhari;seven women;community,very_high,B,drafted_v1
6,SCN-MDU-006,Kōvalaṉ carries the surviving capital alone,HWT-0100,2.0,2.0,83.5,85.5,Expose Kōvalaṉ's lack of local protection,The recovery object also reveals his isolation,Kōvalaṉ;craft workers;anklet,high,A,drafted_v1
7,SCN-MDU-007,The goldsmith converts expertise into deception,HWT-0101,2.0,2.0,85.5,87.5,Show specialised credibility manufacturing a suspect,A sale becomes a criminal classification,goldsmith;Kōvalaṉ;palace-linked authority,medium,A,drafted_v1
8,SCN-MDU-008,The order outruns inquiry,HWT-0102,2.0,2.0,87.5,89.5,Centre the catastrophe on institutional haste,State force moves faster than evidence or speech,king;officers;goldsmith;Kōvalaṉ,high,A,drafted_v1
9,SCN-MDU-009,Kōvalaṉ is killed as a classified body,HWT-0102,2.0,2.0,89.5,91.5,Make correction impossible through wrongful execution,The recovery plan ends in irreversible state violence,Kōvalaṉ;officers,high,A,drafted_v1
10,SCN-MDU-010,The city cry breaks the dance,HWT-0114,1.5,1.5,91.5,93.0,Transfer narrative agency from Kōvalaṉ to Kaṇṇaki,Communal repair collapses into public death news,Kaṇṇaki;Mādhari;pastoral women,medium,A,drafted_v1
