sequence_order,scene_id,scene_title,source_ids,runtime_minutes,screenplay_pages,film_start_minute,film_end_minute,scene_purpose,emotional_turn,character_focus,production_complexity,priority,status
1,SCN-ROAD-001,The ground refuses confidence,HWT-0061,1.5,1.5,46.0,47.5,Let terrain remove social confidence,The first road steps expose unprepared bodies,Kaṇṇaki;Kōvalaṉ;Kauṇṭi,medium,A,drafted_v1
2,SCN-ROAD-002,Kāviri works around them,HWT-0062,1.5,1.5,47.5,49.0,Place travellers inside agrarian labour,Travel enters a working ecological system,travellers;farm workers;animals,high,B,drafted_v1
3,SCN-ROAD-003,Distance is counted by halts,HWT-0063,1.5,1.5,49.0,50.5,Make duration and bodily cost visible,Progress becomes a sequence of exhaustion and recovery,Kaṇṇaki;Kōvalaṉ;Kauṇṭi,medium,A,drafted_v1
4,SCN-ROAD-004,Teaching on the river island,HWT-0064,1.5,1.5,50.5,52.0,Frame karma without excusing later institutions,The journey acquires ethical and doctrinal depth,Kauṇṭi;travellers;teachers,medium,B,drafted_v1
5,SCN-ROAD-005,The south bank removes shelter,HWT-0065;HWT-0066,1.5,1.5,52.0,53.5,Increase social vulnerability after crossing,The travellers lose another layer of protection,Kaṇṇaki;Kōvalaṉ;Kauṇṭi,high,A,drafted_v1
6,SCN-ROAD-006,The road is argued before it is taken,HWT-0067;HWT-0068,2.0,2.0,53.5,55.5,Make route knowledge political and ethical,Competing maps reveal different values,Kauṇṭi;travelling Brahmin;couple,medium,A,planned
7,SCN-ROAD-007,Pālai is made by season,HWT-0069;HWT-0070,1.5,1.5,55.5,57.0,Make ecology causal and unstable,Familiar land becomes hostile through season,travellers;landscape;animals,high,A,planned
8,SCN-ROAD-008,The cave route promises knowledge,HWT-0071,1.5,1.5,57.0,58.5,Present a genuine competing sacred route,Wonder offers an alternative to urgent travel,travelling Brahmin;Kauṇṭi;couple,medium,B,planned
9,SCN-ROAD-009,Kauṇṭi chooses the direct road,HWT-0072;HWT-0073,1.5,1.5,58.5,60.0,Establish ethical route-making as action,Care for life defeats the attraction of marvel,Kauṇṭi;Kaṇṇaki;Kōvalaṉ,low,A,planned
10,SCN-ROAD-010,The forest speaks in a familiar face,HWT-0074,1.5,1.5,60.0,61.5,Externalise unresolved Pukār memory,Kōvalaṉ confronts desire and guilt as uncertain perception,Kōvalaṉ;forest deity;remembered Mādhavi,high,B,planned
11,SCN-ROAD-011,Heat drives them to Aiyai's enclosure,HWT-0075;HWT-0076,2.0,2.0,61.5,63.5,Make Kaṇṇaki's bodily cost unavoidable,The group must stop because her body sets the limit,Kaṇṇaki;Kōvalaṉ;Kauṇṭi,high,A,planned
12,SCN-ROAD-012,Sālini names a future no one understands,HWT-0077;HWT-0078;HWT-0079;HWT-0080,2.0,2.0,63.5,65.5,Give anticipatory recognition without replacing legal proof,A ritual community names significance before Kaṇṇaki claims it,Sālini;Kaṇṇaki;hunter community,very_high,A,planned
13,SCN-ROAD-013,Moonlight under the sceptre,HWT-0081,1.0,1.0,65.5,66.5,Establish trust in Pāṇḍya order,The travellers enter night believing the kingdom protects roads,travellers;royal order,medium,B,planned
14,SCN-ROAD-014,Shelter outside the capital,HWT-0082,1.5,1.5,66.5,68.0,Provide final protection before city risk,Temporary safety delays but cannot prevent catastrophe,Kaṇṇaki;Kōvalaṉ;Kauṇṭi,medium,B,planned
15,SCN-ROAD-015,Kausika recognises the missing man,HWT-0083,1.5,1.5,68.0,69.5,Bring Pukār consequences forward,Kōvalaṉ's abandoned world catches up with him,Kōvalaṉ;Kausika,low,A,planned
16,SCN-ROAD-016,The letter corrects the song,HWT-0084-HWT-0085,1.5,1.5,69.5,71.0,Resolve the Kāṉal Vari misunderstanding,Kōvalaṉ recognises Mādhavi's innocence and his error,Kōvalaṉ;Kausika;Mādhavi through letter,low,A,planned
17,SCN-ROAD-017,Madurai arrives before it is seen,HWT-0086-HWT-0087,1.5,1.5,71.0,72.5,Build the capital through sensory systems,Hope and unease gather before the walls appear,travellers;Madurai soundscape,high,A,planned
18,SCN-ROAD-018,Across the Vaigai to the fortified edge,HWT-0088-HWT-0089,1.5,1.5,72.5,74.0,Enter the institutional drama,The journey ends at a city that appears capable of justice,Kaṇṇaki;Kōvalaṉ;Kauṇṭi,high,A,planned
