sequence_order,scene_id,scene_title,source_ids,runtime_minutes,screenplay_pages,film_start_minute,film_end_minute,scene_purpose,emotional_turn,character_focus,production_complexity,priority,status
1,SCN-PUK-001,Moral contract,HWT-0001,1.5,1.5,0.0,1.5,"Frame accountability, Pattini recognition and the anklet spine",The anklet becomes the title-bearing object,Kaṇṇaki;Kōvalaṉ;future memory,medium,A,drafted_v1
2,SCN-PUK-002,The city that can be lost,HWT-0029;HWT-0033,3.0,3.0,1.5,4.5,Establish Pukār as a functioning maritime economy,A living city becomes the world at risk,port labour;merchants;households,high,A,drafted_v1
3,SCN-PUK-003,Two merchant houses make a marriage,HWT-0030;HWT-0031;HWT-0032,4.5,4.5,4.5,9.0,"Establish kinship, property and public expectation",Two families create a recognised household pair,Kaṇṇaki;Kōvalaṉ;families,high,A,drafted_v1
4,SCN-PUK-004,A household of their own,HWT-0034;HWT-0035,4.0,4.0,9.0,13.0,Show domestic competence and material life,Marriage becomes daily responsibility,Kaṇṇaki;Kōvalaṉ;household workers,medium,A,drafted_v1
5,SCN-PUK-005,Seven years in the body,HWT-0036;HWT-0037,1.5,1.5,13.0,14.5,Establish Mādhavi's disciplined artistic training,The child trainee becomes a public-level artist,Mādhavi;teachers;trainees,medium,A,planned
6,SCN-PUK-006,Building and consecrating the stage,HWT-0038;HWT-0039;HWT-0040,1.5,1.5,14.5,16.0,Show performance as civic infrastructure,Private training enters public judgement,stage workers;musicians;Mādhavi,high,B,planned
7,SCN-PUK-007,Debut reward and garland threshold,HWT-0041,3.0,3.0,16.0,19.0,Bring Kōvalaṉ into Mādhavi's world through choice,Public honour becomes privately negotiable access,Mādhavi;Kōvalaṉ;ruler;ensemble,high,A,planned
8,SCN-PUK-008,Two evenings in one city,HWT-0042;HWT-0043,1.5,1.5,19.0,20.5,Contrast Mādhavi's preparation with Kaṇṇaki's subtraction,Intimacy and absence coexist in one city,Mādhavi;Kōvalaṉ;Kaṇṇaki,medium,A,planned
9,SCN-PUK-009,The festival city mobilises,HWT-0002-HWT-0022,3.0,3.0,20.5,23.5,Place private relationships inside cosmopolitan civic systems,The normal city becomes intensified public order,crowds;traders;ritual institutions,very_high,B,planned
10,SCN-PUK-010,Eleven dances and the working costume,HWT-0023;HWT-0024,3.0,3.0,23.5,26.5,Make dance and costume narrative labour,Mādhavi is rebuilt through performance discipline,Mādhavi;ensemble;attendants,very_high,A,planned
11,SCN-PUK-011,Through the lit city to the sea,HWT-0025;HWT-0026;HWT-0027,1.5,1.5,26.5,28.0,Move intimacy through visible public labour,Urban enclosure opens toward the shore,Mādhavi;Kōvalaṉ;night workers,high,B,planned
12,SCN-PUK-012,The song that begins the break,HWT-0028;HWT-0045;HWT-0046;HWT-0047,3.0,3.0,28.0,31.0,Begin rupture through indirect artistic speech,Shared musical language becomes unstable,Kōvalaṉ;Mādhavi,medium,A,planned
13,SCN-PUK-013,Mādhavi answers in the same language,HWT-0048,1.5,1.5,31.0,32.5,Make Mādhavi's counter-speech active while preserving ambiguity,Artistic reciprocity becomes interpretive conflict,Mādhavi;Kōvalaṉ,medium,A,planned
14,SCN-PUK-014,He leaves the performance unfinished,HWT-0049,1.0,1.0,32.5,33.5,Make misreading the immediate cause of rupture,Kōvalaṉ breaks the shared artistic world,Kōvalaṉ;Mādhavi,low,A,planned
15,SCN-PUK-015,Summer after the rupture,HWT-0050;HWT-0051,1.0,1.0,33.5,34.5,Show artistic labour continuing after abandonment,Routine becomes Mādhavi's private survival,Mādhavi;musicians,medium,B,planned
16,SCN-PUK-016,The flower-letter,HWT-0052;HWT-0053,2.0,2.0,34.5,36.5,Translate artistry into vulnerable material communication,Performance becomes deliberate written appeal,Mādhavi;Vasantamālai,medium,A,planned
17,SCN-PUK-017,Sacred plurality and the warning dream,HWT-0054;HWT-0055,1.0,1.0,36.5,37.5,Give early unease without omniscience,Private fear becomes articulated warning,Kaṇṇaki;Dēvanti,medium,B,planned
18,SCN-PUK-018,Kaṇṇaki refuses the proposed remedy,HWT-0056,1.0,1.0,37.5,38.5,Establish Kaṇṇaki's judgement before reconciliation,She chooses conduct over a proposed ritual remedy,Kaṇṇaki;Dēvanti,low,A,planned
19,SCN-PUK-019,Return without restoration,HWT-0057,1.5,1.5,38.5,40.0,Reunite the couple through shame and need,Material collapse is acknowledged but not repaired,Kaṇṇaki;Kōvalaṉ,low,A,planned
20,SCN-PUK-020,The anklet becomes capital,HWT-0058,2.0,2.0,40.0,42.0,Convert marital property into a recovery plan,Kaṇṇaki makes survival possible through her property,Kaṇṇaki;Kōvalaṉ;anklet,medium,A,planned
21,SCN-PUK-021,Leaving before the city wakes,HWT-0059,1.0,1.0,42.0,43.0,Make departure irreversible bodily action,The couple leave immediate kin protection,Kaṇṇaki;Kōvalaṉ,medium,A,planned
22,SCN-PUK-022,Crossing the sacred and civic edge,HWT-0059;HWT-0060,1.0,1.0,43.0,44.0,Preserve sacred plurality while exposing the travellers,Civic identity gives way to road vulnerability,Kaṇṇaki;Kōvalaṉ,high,B,planned
23,SCN-PUK-023,Kauṇṭi assesses the travellers,HWT-0060,1.0,1.0,44.0,45.0,Introduce ethical authority grounded in observation,The private plan is tested by an outsider,Kauṇṭi;Kaṇṇaki;Kōvalaṉ,low,A,planned
24,SCN-PUK-024,Pukār becomes memory,HWT-0059;HWT-0060;HWT-0061,1.0,1.0,45.0,46.0,Close the city movement and announce road conditions,Pukār changes from present world to memory,Kaṇṇaki;Kōvalaṉ;Kauṇṭi,medium,A,planned
