concordance_id,zone_or_system,source_file,kandam,canto,passage_span,anchor_phrase,source_claim,verification_status
HWT-0153,HILL-Z01 Kaṇṇaki encounter,vanji_kaandam.md,Vañci,24. Hill Kuravai,Opening encounter,"மணமதுரையோ டரசுகேடுற","Kaṇṇaki identifies herself to the hill women as the one who lost her husband when Madurai and its kingship were destroyed",verified_exact
HWT-0154,HILL-Z02 community deification,vanji_kaandam.md,Vañci,24. Hill Kuravai,Opening ritual command,"தெய்வங் கொள்ளுமின் சிறுகுடி யீரே","The hill community is instructed to receive the one-breasted woman as a deity within its own settlement",verified_exact
HWT-0155,HILL-Z02 ritual technologies,vanji_kaandam.md,Vañci,24. Hill Kuravai,Ritual sequence,"தொண்டகம் தொடுமின் சிறுபறை தொடுமின்","Drums horn bell song incense flower offerings and protective boundaries form the first local worship system",verified_exact
HWT-0156,HILL-Z01 mountain water ecology,vanji_kaandam.md,Vañci,24. Hill Kuravai,Songs 2-5,"மலையருவி ஆடுதுமே","Waterfalls pools stone mineral colour flowers and mountain water structure the women’s ecological world",verified_exact
HWT-0157,HILL-Z03 Murukaṉ sacred geography,vanji_kaandam.md,Vañci,24. Hill Kuravai,Songs 6-9,"சீர்கெழு செந்திலும் செங்கோடும் வெண்குன்றும்","The kuravai links several Murukaṉ landscapes through the spear and remembered divine combat",verified_exact
HWT-0158,HILL-Z03 healing and marriage ritual,vanji_kaandam.md,Vañci,24. Hill Kuravai,Songs 10-17,"வெறியாடல்","Possession ritual and Murukaṉ worship are debated as responses to love-sickness and desired marriage",verified_exact
HWT-0159,HILL-Z02 Pattini praise song,vanji_kaandam.md,Vañci,24. Hill Kuravai,Closing song,"தீமுறை செய்தாளை ஏத்தியாம் பாடுகம்","The women convert the destruction of unjust Madurai into a communal song praising the Pattini",verified_exact
HWT-0160,VAN-Z01 royal hill excursion,vanji_kaandam.md,Vañci,25. Vision,1-15,"விளங்கில வந்தி வெள்ளி மாடத்து","Senguttuvan and Ilango Venmal leave the Vañci court complex to view the mountain country with their retinue",verified_exact
HWT-0161,VAN-Z02 mountain and river soundscape,vanji_kaandam.md,Vañci,25. Vision,15-35,"குன்றக் குரவையொடு கொடிச்சியர் பாடலும்","Kuravai songs field calls drums waterfalls elephant keepers hunters and the moving army create a layered hill soundscape",verified_exact
HWT-0162,VAN-Z03 mountain tribute goods,vanji_kaandam.md,Vañci,25. Vision,35-47,"யானைவெண் கோடும் அகிலின் குப்பையும்","Hill people present ivory eaglewood honey sandal pigment spices fruit sugarcane and cultivated produce as tribute",verified_exact
HWT-0163,VAN-Z03 animal tribute and forest knowledge,vanji_kaandam.md,Vañci,25. Vision,47-55,"ஆளியின் அணங்கும் அரியின் குருளையும்","Young wild animals birds and forest species are carried to court as signs of mountain access and specialised ecological knowledge",verified_exact
HWT-0164,VAN-Z04 Kuravar testimony,vanji_kaandam.md,Vañci,25. Vision,55-65,"கான வேங்கைக் கீழோர் காரிகை","The Kuravar report seeing the solitary one-breasted woman beneath the vēṅkai tree ascend with her husband",verified_exact
HWT-0165,VAN-Z04 Sāttanār transmission,vanji_kaandam.md,Vañci,25. Vision,65-90,"தண்டமிழாசான் சாத்தன்","Sāttanār narrates to the Cēra court the anklet case the burning of Madurai and the deaths of the Pāṇḍya king and queen",verified_exact
HWT-0166,VAN-Z05 royal accountability,vanji_kaandam.md,Vañci,25. Vision,90-105,"மழைவளம் கரப்பின் வான்பேரச்சம்","Senguttuvan reflects that rulers fear failed rain unjust death oppressive rule and the burden of protecting subjects",verified_exact
HWT-0167,VAN-Z05 queen’s Pattini proposal,vanji_kaandam.md,Vañci,25. Vision,105-120,"பத்தினிக் கடவுளைப் பரசல் வேண்டுமென","Ilango Venmal recommends honouring the Pattini who reached their country rather than treating the episode only as foreign tragedy",verified_exact
