concordance_id,zone_or_system,source_file,kandam,canto,passage_span,anchor_phrase,source_claim,verification_status
HWT-0123,MAD-Z09 royal omen system,madurai_kaandam.md,Madurai,20. Court Case,1-20,"செங்கோலும் வெண்குடையும்","The queen's dream presents falling sceptre and parasol trembling gate bell darkness and celestial disorder as warnings of royal collapse",verified_exact
HWT-0124,MAD-Z09 palace retinue,madurai_kaandam.md,Madurai,20. Court Case,10-20,"ஆயமுங் காவலும்","Attendants guards elders and bearers of ornaments textiles cosmetics garlands fans and incense accompany the queen into court",verified_exact
HWT-0125,MAD-Z09 gate petition,madurai_kaandam.md,Madurai,20. Court Case,25-45,"வாயிலோயே வாயிலோயே","Kaṇṇaki publicly names the king as one who failed royal justice and demands admission while holding the paired anklet's survivor",verified_exact
HWT-0126,MAD-Z09 claimant identity,madurai_kaandam.md,Madurai,20. Court Case,50-60,"கண்ணகி என்பதென் பெயரே","Kaṇṇaki establishes her name Pukār origin merchant lineage marriage and the purpose for which Kōvalaṉ entered Madurai",verified_exact
HWT-0127,MAD-Z09 competing anklet contents,madurai_kaandam.md,Madurai,20. Court Case,60-70,"என்காற் பொற்சிலம்பு மணியுடை அரியே","Her legal argument rests on a testable difference: her anklet contains gems while the queen's anklet contains pearls",verified_exact
HWT-0128,MAD-Z09 material proof,madurai_kaandam.md,Madurai,20. Court Case,70-75,"காற்சிலம்பு உடைப்ப","Kaṇṇaki breaks the anklet before the court and a gem striking the king provides immediate physical proof",verified_exact
HWT-0129,MAD-Z09 royal self-indictment,madurai_kaandam.md,Madurai,20. Court Case,75-80,"யானோ அரசன் யானே கள்வன்","The king identifies himself rather than Kōvalaṉ as the thief because sovereign negligence caused the unlawful killing",verified_exact
HWT-0130,MAD-Z09 queen's terminal response,madurai_kaandam.md,Madurai,20. Court Case,78-80,"கணவனை இழந்தோர்க்குக் காட்டுவது இல்லென்று","The queen bows at Kaṇṇaki's feet and falls after declaring that no consolation can be shown to a woman who has lost her husband",verified_exact
HWT-0131,MAD moral memory,madurai_kaandam.md,Madurai,21. Vengeance Garland,1-35,"பத்தினியே யாமாகில்","Kaṇṇaki invokes remembered women whose fidelity was demonstrated through public ordeal rescue sacrifice or transformation",verified_exact
HWT-0132,MAD-Z10 destruction vow,madurai_kaandam.md,Madurai,21. Vengeance Garland,35-40,"ஒட்டேன் அரசோடு ஒழிப்பேன் மதுரையும்","She declares that if she is truly a pattini she will not spare the ruler or Madurai",verified_exact
HWT-0133,MAD-Z10 ritualised city accusation,madurai_kaandam.md,Madurai,21. Vengeance Garland,40-48,"மதுரை வலமுறை மும்முறை","Kaṇṇaki addresses women men gods and ascetics circles Madurai three times and casts away her left breast as the embodied act of accusation",verified_exact
HWT-0134,MAD-Z10 fire deity appearance,madurai_kaandam.md,Madurai,21. Vengeance Garland,48-52,"எரியங்கி வானவன் தான்தோன்றி","The fire deity appears in Brahmin form and states that an earlier command authorised burning the city when it wronged the great pattini",verified_exact
HWT-0135,MAD-Z10 protected persons,madurai_kaandam.md,Madurai,21. Vengeance Garland,50-55,"பார்ப்பார் அறவோர் பசு பத்தினிப் பெண்டிர் மூத்தோர் குழவி","Kaṇṇaki orders fire to spare ritual specialists righteous people cattle faithful wives elders and children",verified_exact
HWT-0136,MAD-Z10 selective ignition,madurai_kaandam.md,Madurai,21. Vengeance Garland,55-65,"தீத்திறத்தார் பக்கமே சேர்க","Fire is directed toward those aligned with wrongdoing rather than described as indiscriminate natural disaster",verified_exact
HWT-0137,MAD-Z11 guardian withdrawal,madurai_kaandam.md,Madurai,22. Fire,1-15,"காவல் தெய்வம் கடைமுகம் அடைத்தன","Commanding and protective deities open or close their thresholds and withdraw as palace institutions stand paralysed before the fire",verified_exact
